scenario,year,variable,commodity,sector,subsector,unit,value
BAU,2017,household consumption,MetalPr,UrbanHH,,10 billion CNY,4.73012
BAU,2017,output,,GenEqp,,10 billion CNY,451.26883
BAU,2017,production cost,,GenEqp,,1,1.0
BAU,2017,capital demand,,GenEqp,,10 billion CNY,38.35502
BAU,2017,labor demand,,GenEqp,,10 billion CNY,46.16378
BAU,2017,CO2,,GenEqp,,0.1 billion tons,0.19560012
BAU,2017,energy demand,Coal,GenEqp,,10 billion CNY,0.3018987
BAU,2017,energy demand,RefPet,GenEqp,,10 billion CNY,1.4604038
BAU,2017,energy demand,ElecDist,GenEqp,,10 billion CNY,6.8843
BAU,2017,energy demand,GasDist,GenEqp,,10 billion CNY,0.6728319
BAU,2017,domestic demand,,GenEqp,,10 billion CNY,371.87216
BAU,2017,commodity price,,GenEqp,,1,1.0
BAU,2017,investment,,GenEqp,,10 billion CNY,120.576004
BAU,2017,government consumption,GenEqp,,,10 billion CNY,0.0
BAU,2017,household consumption,GenEqp,RuralHH,,10 billion CNY,0.43408597
BAU,2017,household consumption,GenEqp,UrbanHH,,10 billion CNY,1.3096728
BAU,2017,output,,SpecEqp,,10 billion CNY,348.87305
BAU,2017,production cost,,SpecEqp,,1,1.0
BAU,2017,capital demand,,SpecEqp,,10 billion CNY,26.147543
BAU,2017,labor demand,,SpecEqp,,10 billion CNY,40.54557
BAU,2017,CO2,,SpecEqp,,0.1 billion tons,0.073800586
BAU,2017,energy demand,Coal,SpecEqp,,10 billion CNY,0.2641088
BAU,2017,energy demand,RefPet,SpecEqp,,10 billion CNY,1.1065494
BAU,2017,energy demand,ElecDist,SpecEqp,,10 billion CNY,5.1935096
BAU,2017,energy demand,GasDist,SpecEqp,,10 billion CNY,0.2804931
BAU,2017,domestic demand,,SpecEqp,,10 billion CNY,302.71454
BAU,2017,commodity price,,SpecEqp,,1,1.0
BAU,2017,investment,,SpecEqp,,10 billion CNY,182.30174
BAU,2017,government consumption,SpecEqp,,,10 billion CNY,0.0
BAU,2017,household consumption,SpecEqp,RuralHH,,10 billion CNY,0.3744967
BAU,2017,household consumption,SpecEqp,UrbanHH,,10 billion CNY,2.4265823
BAU,2017,output,,TransEqp,,10 billion CNY,866.6802
BAU,2017,production cost,,TransEqp,,1,1.0
BAU,2017,capital demand,,TransEqp,,10 billion CNY,66.89309
BAU,2017,labor demand,,TransEqp,,10 billion CNY,58.383366
BAU,2017,CO2,,TransEqp,,0.1 billion tons,0.1261002
BAU,2017,energy demand,Coal,TransEqp,,10 billion CNY,0.0778933
BAU,2017,energy demand,RefPet,TransEqp,,10 billion CNY,1.612671
BAU,2017,energy demand,ElecDist,TransEqp,,10 billion CNY,6.9010887
BAU,2017,energy demand,GasDist,TransEqp,,10 billion CNY,0.20673455
BAU,2017,domestic demand,,TransEqp,,10 billion CNY,808.2242
BAU,2017,commodity price,,TransEqp,,1,1.0
BAU,2017,investment,,TransEqp,,10 billion CNY,322.58948
BAU,2017,government consumption,TransEqp,,,10 billion CNY,0.0
BAU,2017,household consumption,TransEqp,RuralHH,,10 billion CNY,12.253281
BAU,2017,household consumption,TransEqp,UrbanHH,,10 billion CNY,110.44678
BAU,2017,output,,ElecEqp,,10 billion CNY,602.1391
BAU,2017,production cost,,ElecEqp,,1,1.0
BAU,2017,capital demand,,ElecEqp,,10 billion CNY,56.51976
BAU,2017,labor demand,,ElecEqp,,10 billion CNY,49.45338
BAU,2017,CO2,,ElecEqp,,0.1 billion tons,0.038800187
BAU,2017,energy demand,Coal,ElecEqp,,10 billion CNY,0.17512858
BAU,2017,energy demand,RefPet,ElecEqp,,10 billion CNY,0.9855034
BAU,2017,energy demand,ElecDist,ElecEqp,,10 billion CNY,6.745056
BAU,2017,energy demand,GasDist,ElecEqp,,10 billion CNY,0.20121261
BAU,2017,domestic demand,,ElecEqp,,10 billion CNY,467.92404
BAU,2017,commodity price,,ElecEqp,,1,1.0
BAU,2017,investment,,ElecEqp,,10 billion CNY,73.8961
BAU,2017,government consumption,ElecEqp,,,10 billion CNY,0.0
BAU,2017,household consumption,ElecEqp,RuralHH,,10 billion CNY,8.067045
BAU,2017,household consumption,ElecEqp,UrbanHH,,10 billion CNY,28.351091
BAU,2017,output,,ICTEqp,,10 billion CNY,955.91064
BAU,2017,production cost,,ICTEqp,,1,1.0
BAU,2017,capital demand,,ICTEqp,,10 billion CNY,63.19974
BAU,2017,labor demand,,ICTEqp,,10 billion CNY,88.94244
BAU,2017,CO2,,ICTEqp,,0.1 billion tons,0.039200094
BAU,2017,energy demand,Coal,ICTEqp,,10 billion CNY,0.000349412
BAU,2017,energy demand,RefPet,ICTEqp,,10 billion CNY,0.74732435
BAU,2017,energy demand,ElecDist,ICTEqp,,10 billion CNY,8.672026
BAU,2017,energy demand,GasDist,ICTEqp,,10 billion CNY,0.11111321
BAU,2017,domestic demand,,ICTEqp,,10 billion CNY,589.40216
BAU,2017,commodity price,,ICTEqp,,1,1.0
BAU,2017,investment,,ICTEqp,,10 billion CNY,84.52637
BAU,2017,government consumption,ICTEqp,,,10 billion CNY,0.0
BAU,2017,household consumption,ICTEqp,RuralHH,,10 billion CNY,12.412248
BAU,2017,household consumption,ICTEqp,UrbanHH,,10 billion CNY,48.22439
BAU,2017,output,,PrecInst,,10 billion CNY,84.95254
BAU,2017,production cost,,PrecInst,,1,1.0
BAU,2017,capital demand,,PrecInst,,10 billion CNY,7.2613974
BAU,2017,labor demand,,PrecInst,,10 billion CNY,8.985178
BAU,2017,CO2,,PrecInst,,0.1 billion tons,0.005699893
BAU,2017,energy demand,Coal,PrecInst,,10 billion CNY,0.017036652
BAU,2017,energy demand,RefPet,PrecInst,,10 billion CNY,0.27872542
BAU,2017,energy demand,ElecDist,PrecInst,,10 billion CNY,1.0648904
BAU,2017,energy demand,GasDist,PrecInst,,10 billion CNY,0.009926988
BAU,2017,domestic demand,,PrecInst,,10 billion CNY,62.608704
BAU,2017,commodity price,,PrecInst,,1,1.0
BAU,2017,investment,,PrecInst,,10 billion CNY,10.4866
BAU,2017,government consumption,PrecInst,,,10 billion CNY,0.0
BAU,2017,household consumption,PrecInst,RuralHH,,10 billion CNY,0.67049044
BAU,2017,household consumption,PrecInst,UrbanHH,,10 billion CNY,2.4205058
BAU,2017,output,,OthMfg,,10 billion CNY,37.447533
BAU,2017,production cost,,OthMfg,,1,1.0
BAU,2017,capital demand,,OthMfg,,10 billion CNY,1.6132283
BAU,2017,labor demand,,OthMfg,,10 billion CNY,2.5546231
BAU,2017,CO2,,OthMfg,,0.1 billion tons,0.010399919
BAU,2017,energy demand,Coal,OthMfg,,10 billion CNY,0.07663003
BAU,2017,energy demand,RefPet,OthMfg,,10 billion CNY,0.3213797
BAU,2017,energy demand,ElecDist,OthMfg,,10 billion CNY,0.8230395
BAU,2017,energy demand,GasDist,OthMfg,,10 billion CNY,0.14489904
BAU,2017,domestic demand,,OthMfg,,10 billion CNY,29.59115
BAU,2017,commodity price,,OthMfg,,1,1.0
BAU,2017,investment,,OthMfg,,10 billion CNY,0.38500747
BAU,2017,government consumption,OthMfg,,,10 billion CNY,0.0
BAU,2017,household consumption,OthMfg,RuralHH,,10 billion CNY,1.022482
BAU,2017,household consumption,OthMfg,UrbanHH,,10 billion CNY,2.7741425
BAU,2017,output,,Waste,,10 billion CNY,66.013565
BAU,2017,production cost,,Waste,,1,1.0
BAU,2017,capital demand,,Waste,,10 billion CNY,36.074524
BAU,2017,labor demand,,Waste,,10 billion CNY,11.210742
BAU,2017,CO2,,Waste,,0.1 billion tons,0.0182999
BAU,2017,energy demand,Coal,Waste,,10 billion CNY,0.028292468
BAU,2017,energy demand,RefPet,Waste,,10 billion CNY,0.16657175
BAU,2017,energy demand,ElecDist,Waste,,10 billion CNY,0.33406502
BAU,2017,energy demand,GasDist,Waste,,10 billion CNY,0.0675864
BAU,2017,domestic demand,,Waste,,10 billion CNY,64.77106
BAU,2017,commodity price,,Waste,,1,1.0
